CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,InternetService,MonthlyCharges,TotalCharges,Churn
CUST0149,Female,0,Yes,Yes,42,Yes,DSL,65.79,2687.51,Yes
CUST0150,Female,0,No,Yes,28,Yes,No,77.9,5728.54,No
CUST0151,Male,0,Yes,No,72,Yes,No,101.29,1764.89,No
CUST0152,Female,0,Yes,Yes,43,Yes,DSL,35.01,2643.23,No
CUST0153,Male,1,No,No,18,Yes,No,56.01,7486.29,No
CUST0154,Female,0,No,Yes,67,Yes,Fiber optic,103.56,6051.62,No
CUST0155,Male,1,No,Yes,13,Yes,No,71.82,7632.93,No
CUST0156,Male,0,No,No,31,Yes,DSL,36.35,784.9,No
CUST0157,Female,0,Yes,Yes,29,No,DSL,106.94,3950.38,No
CUST0158,Female,0,Yes,Yes,15,Yes,No,113.61,7246.54,No
CUST0159,Male,0,Yes,Yes,30,Yes,No,93.97,3571.63,Yes
CUST0160,Female,0,No,No,13,Yes,No,117.37,5545.75,Yes
CUST0161,Female,0,No,Yes,44,Yes,No,112.65,1445.06,No
CUST0162,Female,0,Yes,Yes,12,No,DSL,32.14,2049.39,No
CUST0163,Male,1,No,Yes,6,Yes,DSL,60.93,3445.66,No
CUST0164,Female,0,Yes,No,7,No,Fiber optic,79.69,2579.07,No
CUST0165,Female,0,No,No,30,Yes,No,93.24,5186.62,No
CUST0166,Female,0,No,No,32,Yes,DSL,73.51,6628.8,No
CUST0167,Female,0,Yes,No,1,Yes,No,84.92,2928.94,Yes
CUST0168,Male,0,Yes,Yes,49,Yes,Fiber optic,31.68,6129.44,No
CUST0169,Male,0,No,Yes,44,Yes,DSL,60.63,2313.27,No
CUST0170,Female,1,No,No,12,Yes,DSL,20.69,3284.38,Yes
CUST0171,Female,0,Yes,No,57,No,Fiber optic,85.18,380.97,Yes
CUST0172,Male,0,No,Yes,39,Yes,Fiber optic,36.45,1242.46,No
CUST0173,Male,1,No,No,70,Yes,Fiber optic,60.4,988.23,No
CUST0174,Female,0,Yes,No,63,Yes,No,69.86,4657.77,No
CUST0175,Male,0,Yes,No,39,Yes,No,86.64,5058.44,No
CUST0176,Male,1,Yes,Yes,24,Yes,Fiber optic,96.32,537.52,No
CUST0177,Male,1,Yes,No,4,No,Fiber optic,91.51,4512.89,No
CUST0178,Female,0,No,Yes,68,Yes,DSL,76.78,6049.9,No
CUST0179,Male,0,No,No,40,Yes,Fiber optic,72.88,4082.6,Yes
CUST0180,Female,0,Yes,Yes,4,Yes,Fiber optic,105.69,3747.27,Yes
CUST0181,Female,0,Yes,Yes,25,Yes,DSL,106.68,5110.85,No
CUST0182,Male,0,Yes,Yes,36,Yes,Fiber optic,26.19,3121.72,No
CUST0183,Male,0,No,No,42,Yes,DSL,47.01,4899.69,Yes
CUST0184,Male,0,Yes,Yes,62,Yes,Fiber optic,112.17,7404.25,Yes
CUST0185,Female,0,Yes,No,38,Yes,Fiber optic,79.27,6853.64,No
CUST0186,Male,0,No,Yes,58,Yes,DSL,33.47,5928.16,Yes
CUST0187,Male,1,Yes,No,4,No,No,27.11,7000.98,No
CUST0188,Female,0,No,No,15,Yes,Fiber optic,29.44,2468.01,Yes
CUST0189,Male,0,No,No,36,Yes,No,96.98,6028.6,No
CUST0190,Male,0,Yes,No,72,No,DSL,42.2,2403.29,Yes
CUST0191,Female,0,No,Yes,57,Yes,Fiber optic,44.3,4179.15,No
CUST0192,Male,0,No,Yes,65,Yes,DSL,33.06,3953.51,No
CUST0193,Male,1,Yes,Yes,5,Yes,DSL,79.97,474.75,No
CUST0194,Female,0,Yes,Yes,13,Yes,No,71.39,4606.03,No
CUST0195,Male,0,Yes,Yes,69,No,Fiber optic,48.15,4088.74,No
CUST0196,Male,1,Yes,No,18,Yes,Fiber optic,85.81,4201.39,No
CUST0197,Male,1,Yes,No,33,Yes,No,97.78,351.6,No
CUST0198,Male,0,Yes,No,66,No,Fiber optic,117.96,3056.14,Yes
CUST0199,Female,0,No,No,23,Yes,Fiber optic,67.87,3443.06,No
CUST0200,Male,0,No,No,3,Yes,No,61.3,5917.01,No
CUST0201,Female,0,No,Yes,30,Yes,Fiber optic,49.22,5902.38,Yes
CUST0202,Female,0,Yes,Yes,63,Yes,No,98.46,3115.06,No
CUST0203,Male,0,Yes,No,30,Yes,No,117.22,3288.98,No
CUST0204,Male,0,Yes,No,50,Yes,DSL,80.04,5715.23,No
CUST0205,Male,1,Yes,No,70,Yes,No,84.23,3414.8,No
CUST0206,Female,0,Yes,No,38,Yes,No,88.91,4892.01,Yes
CUST0207,Male,0,No,No,32,Yes,DSL,62.33,2212.16,Yes
CUST0208,Male,0,Yes,Yes,26,Yes,DSL,42.03,525.26,No
CUST0209,Male,0,No,No,20,Yes,No,45.61,5584.85,Yes
CUST0210,Female,1,Yes,Yes,35,Yes,No,81.72,5383.67,No
CUST0211,Male,0,Yes,No,3,Yes,DSL,83.76,758.59,No
CUST0212,Male,0,Yes,Yes,72,Yes,DSL,66.19,293.01,Yes
CUST0213,Male,0,No,Yes,70,Yes,DSL,24.33,119.38,No
CUST0214,Female,1,No,Yes,67,Yes,DSL,107.72,1126.15,No
CUST0215,Male,0,Yes,Yes,50,Yes,No,44.43,1774.34,Yes
CUST0216,Female,0,No,Yes,30,Yes,Fiber optic,78.1,6870.43,Yes
CUST0217,Female,0,Yes,Yes,68,Yes,Fiber optic,93.87,3523.43,No
CUST0218,Female,0,No,No,60,Yes,Fiber optic,38.43,5252.21,No
CUST0219,Female,0,Yes,No,14,Yes,No,67.33,7761.0,Yes
CUST0220,Male,0,Yes,Yes,66,Yes,No,20.13,3591.95,Yes
CUST0221,Female,0,Yes,Yes,48,Yes,DSL,24.74,6411.73,No
CUST0222,Female,0,Yes,No,21,Yes,No,45.05,3150.26,No
CUST0223,Female,0,No,No,39,Yes,Fiber optic,85.87,5957.6,Yes
CUST0224,Female,0,No,No,63,Yes,No,108.67,2186.24,No
CUST0225,Male,1,No,Yes,39,No,DSL,62.45,7113.83,Yes
CUST0226,Male,0,Yes,Yes,45,Yes,DSL,22.5,512.34,No
CUST0227,Female,0,Yes,Yes,8,No,No,49.27,3673.29,No
CUST0228,Female,0,Yes,No,60,Yes,No,115.7,7909.93,No
CUST0229,Female,0,Yes,Yes,69,Yes,DSL,31.12,1235.49,No
CUST0230,Female,0,No,Yes,24,Yes,No,95.57,900.06,No
CUST0231,Female,0,No,No,22,No,Fiber optic,94.73,2721.9,No
CUST0232,Male,0,No,No,62,Yes,Fiber optic,78.99,1174.86,No
CUST0233,Male,0,No,Yes,52,Yes,DSL,113.09,5454.34,No
CUST0234,Female,0,Yes,No,20,No,No,84.22,4954.02,No
CUST0235,Female,0,Yes,Yes,38,Yes,Fiber optic,116.65,4256.67,No
CUST0236,Female,0,No,No,15,Yes,No,102.61,7765.35,No
CUST0237,Male,0,No,No,1,Yes,Fiber optic,99.4,2596.15,Yes
CUST0238,Female,0,Yes,No,57,Yes,No,115.11,3607.94,Yes
CUST0239,Male,0,Yes,No,1,Yes,DSL,81.7,3760.21,No
CUST0240,Male,0,Yes,Yes,4,No,No,52.23,5670.1,Yes
CUST0241,Male,0,Yes,No,50,Yes,No,30.37,1896.12,No
CUST0242,Female,1,No,Yes,30,Yes,DSL,89.43,6068.72,No
CUST0243,Female,1,Yes,Yes,17,Yes,DSL,72.33,1563.98,No
CUST0244,Female,0,Yes,No,7,Yes,Fiber optic,58.54,7818.65,Yes
CUST0245,Male,0,Yes,Yes,27,Yes,DSL,114.97,7624.2,Yes
CUST0246,Female,1,No,Yes,41,Yes,Fiber optic,111.24,3256.25,No
CUST0247,Male,1,No,Yes,23,Yes,Fiber optic,57.79,7050.82,No
CUST0248,Male,1,No,Yes,48,Yes,Fiber optic,114.55,3215.06,No
CUST0249,Female,0,No,No,30,Yes,DSL,63.2,4375.5,Yes
CUST0250,Female,0,Yes,No,62,Yes,Fiber optic,40.61,6006.74,No
CUST0251,Female,0,Yes,Yes,65,No,Fiber optic,82.07,6092.98,No
CUST0252,Male,0,No,No,26,Yes,DSL,29.42,7098.31,Yes
CUST0253,Female,1,No,Yes,47,Yes,DSL,35.27,3747.97,No
CUST0254,Female,0,No,Yes,61,Yes,Fiber optic,101.43,4790.58,No
CUST0255,Male,1,Yes,No,9,Yes,DSL,101.91,4602.12,Yes
CUST0256,Male,0,Yes,No,20,Yes,DSL,44.06,4093.99,No
CUST0257,Male,0,Yes,No,42,Yes,No,94.69,5587.91,No
CUST0258,Female,0,Yes,Yes,28,Yes,DSL,117.36,2150.72,Yes
CUST0259,Male,1,Yes,No,56,Yes,No,115.78,615.85,No
CUST0260,Female,0,Yes,Yes,18,Yes,No,64.45,4197.73,No
CUST0261,Female,0,Yes,No,26,Yes,DSL,106.39,3484.09,Yes
CUST0262,Male,1,No,Yes,33,Yes,No,75.71,4264.81,No
CUST0263,Male,1,No,Yes,61,Yes,Fiber optic,76.48,4941.91,No
CUST0264,Female,0,Yes,No,64,Yes,Fiber optic,43.93,2982.93,Yes
CUST0265,Female,0,No,Yes,53,No,Fiber optic,58.42,2525.09,No
CUST0266,Female,0,No,Yes,69,Yes,No,41.49,5438.2,Yes
CUST0267,Female,0,No,Yes,70,Yes,No,94.25,3263.83,No
CUST0268,Female,1,No,Yes,68,No,DSL,84.06,6681.76,Yes
CUST0269,Male,0,No,No,25,Yes,No,100.45,6121.97,No
CUST0270,Female,0,No,Yes,28,Yes,Fiber optic,81.99,7220.67,No
CUST0271,Female,0,Yes,Yes,71,Yes,No,47.72,859.84,Yes
CUST0272,Female,0,No,No,56,Yes,Fiber optic,115.25,1371.02,No
CUST0273,Male,1,No,Yes,68,Yes,Fiber optic,85.07,4902.11,No
CUST0274,Female,0,Yes,Yes,5,Yes,DSL,67.63,5696.87,No
CUST0275,Female,0,Yes,Yes,45,Yes,DSL,97.76,1766.45,Yes
CUST0276,Male,0,Yes,No,12,Yes,No,45.46,291.89,No
CUST0277,Male,0,Yes,Yes,17,No,No,101.08,6906.42,No
CUST0278,Male,0,No,Yes,49,Yes,DSL,53.83,6247.6,No
CUST0279,Female,0,Yes,No,38,Yes,No,27.47,7377.09,No
CUST0280,Female,0,Yes,Yes,53,No,Fiber optic,98.29,2388.62,No
CUST0281,Male,0,No,Yes,27,Yes,Fiber optic,39.1,4127.08,Yes
CUST0282,Male,1,Yes,No,50,Yes,No,84.43,5841.93,No
CUST0283,Female,0,No,No,16,Yes,No,46.98,5044.19,No
CUST0284,Male,0,Yes,No,51,Yes,No,88.54,198.19,Yes
CUST0285,Male,0,No,Yes,38,Yes,Fiber optic,32.61,4127.92,No
CUST0286,Male,0,Yes,Yes,11,Yes,Fiber optic,82.39,7856.71,Yes
CUST0287,Female,0,No,Yes,14,Yes,No,39.2,1935.45,No
CUST0288,Male,0,Yes,No,25,Yes,DSL,70.34,3701.85,No
CUST0289,Female,0,No,Yes,4,Yes,No,107.27,6479.36,No
CUST0290,Female,0,Yes,Yes,37,Yes,Fiber optic,67.54,2202.35,Yes
CUST0291,Female,0,No,No,42,No,DSL,97.21,3312.84,No
CUST0292,Male,0,Yes,Yes,18,Yes,Fiber optic,34.64,5554.57,No
CUST0293,Female,0,No,No,11,Yes,No,85.72,3654.15,Yes
CUST0294,Female,0,Yes,Yes,32,Yes,DSL,35.2,7637.19,No
CUST0295,Female,0,No,Yes,55,Yes,No,96.86,6816.55,No
CUST0296,Male,0,Yes,No,17,Yes,No,91.41,2390.84,Yes
CUST0297,Male,0,Yes,No,14,Yes,Fiber optic,60.24,104.4,No
CUST0298,Male,0,No,Yes,70,Yes,Fiber optic,67.0,4336.23,No
CUST0299,Male,0,No,Yes,68,Yes,DSL,36.84,6840.75,No
CUST0300,Female,1,Yes,Yes,55,Yes,No,83.55,7282.5,No
CUST0301,Male,0,Yes,Yes,65,Yes,No,111.27,1063.98,No
CUST0302,Female,0,No,Yes,43,Yes,No,76.04,7142.08,Yes
CUST0303,Female,0,No,Yes,46,Yes,No,51.52,4031.65,No
CUST0304,Female,0,No,No,29,Yes,DSL,60.94,7835.69,Yes
CUST0305,Female,0,No,No,53,Yes,Fiber optic,41.83,6433.52,No
CUST0306,Male,0,No,Yes,49,Yes,DSL,64.18,1416.09,No
CUST0307,Female,0,Yes,No,61,Yes,DSL,69.51,4263.19,No
CUST0308,Female,0,Yes,No,64,No,No,114.07,7062.09,No
CUST0309,Female,0,No,Yes,59,Yes,Fiber optic,62.99,6526.33,No
CUST0310,Female,0,Yes,No,44,Yes,DSL,106.23,7748.09,Yes
CUST0311,Female,0,Yes,No,9,No,DSL,36.68,6690.26,No
CUST0312,Female,0,Yes,No,42,Yes,No,74.52,7930.05,No
CUST0313,Male,0,Yes,Yes,26,No,No,79.08,4244.48,No
CUST0314,Male,0,Yes,No,31,Yes,Fiber optic,79.37,4810.52,No
CUST0315,Female,1,No,Yes,53,No,DSL,70.22,651.82,No
CUST0316,Male,0,Yes,Yes,53,Yes,DSL,96.71,3213.09,No
CUST0317,Male,0,No,Yes,22,Yes,No,37.29,2592.51,Yes
CUST0318,Female,0,Yes,No,63,Yes,No,26.81,7344.47,No
CUST0319,Male,0,No,No,69,Yes,DSL,34.27,2716.69,No
CUST0320,Female,0,Yes,No,49,Yes,No,76.32,7100.31,No
CUST0321,Female,0,Yes,No,10,Yes,No,44.97,1989.67,No
CUST0322,Female,0,No,Yes,57,Yes,No,93.85,4697.73,No
CUST0323,Female,0,Yes,No,54,Yes,Fiber optic,26.29,4323.7,Yes
CUST0324,Female,1,No,Yes,70,Yes,No,110.9,877.84,No
CUST0325,Female,0,Yes,No,44,Yes,DSL,115.17,2605.46,No
CUST0326,Male,1,Yes,No,49,Yes,DSL,98.57,7887.95,No
CUST0327,Female,0,Yes,No,20,Yes,Fiber optic,107.8,4796.39,Yes
CUST0328,Female,1,No,Yes,2,Yes,No,57.83,6629.81,No
CUST0329,Female,1,No,Yes,24,Yes,Fiber optic,35.96,5783.91,No
CUST0330,Male,1,No,Yes,10,Yes,DSL,39.99,7212.6,Yes
CUST0331,Male,0,Yes,Yes,32,Yes,No,70.13,2821.42,No
CUST0332,Male,0,Yes,No,66,Yes,DSL,86.14,1846.41,No
CUST0333,Female,0,Yes,Yes,5,No,Fiber optic,76.88,664.87,No
CUST0334,Female,0,No,Yes,60,Yes,Fiber optic,30.49,6749.86,No
CUST0335,Male,0,No,Yes,13,Yes,DSL,92.72,4230.3,No
CUST0336,Female,0,No,Yes,59,Yes,No,98.9,5782.38,No
CUST0337,Male,0,No,No,46,Yes,Fiber optic,22.95,606.22,No
CUST0338,Male,0,Yes,No,25,Yes,No,65.89,6787.68,No
CUST0339,Female,0,Yes,Yes,56,Yes,Fiber optic,63.78,4703.3,No
CUST0340,Male,0,No,No,20,Yes,Fiber optic,26.72,1030.57,No
CUST0341,Female,0,No,Yes,37,Yes,DSL,37.68,4038.05,No
CUST0342,Female,0,No,No,31,Yes,No,101.5,4817.16,No
CUST0343,Male,0,No,Yes,6,Yes,DSL,78.46,2791.97,No
CUST0344,Male,0,Yes,Yes,15,Yes,DSL,41.89,5717.82,Yes
CUST0345,Male,0,Yes,Yes,71,Yes,DSL,65.84,4692.54,No
CUST0346,Male,0,No,Yes,38,Yes,Fiber optic,105.46,6739.27,No
CUST0347,Female,0,Yes,No,3,Yes,No,30.23,6921.52,No
CUST0348,Female,0,Yes,Yes,47,Yes,No,115.55,591.71,No
CUST0349,Female,0,Yes,Yes,18,No,DSL,34.14,5207.19,No
CUST0350,Female,0,Yes,No,12,Yes,No,49.07,5808.63,Yes
CUST0351,Female,0,Yes,Yes,49,Yes,DSL,38.15,1226.72,No
CUST0352,Male,0,No,Yes,4,Yes,Fiber optic,66.96,7079.24,Yes
CUST0353,Female,1,No,Yes,18,Yes,Fiber optic,51.06,6866.15,Yes
CUST0354,Male,1,Yes,No,21,Yes,DSL,118.85,1201.99,No
CUST0355,Female,0,No,No,14,No,No,21.54,7077.93,No
CUST0356,Female,0,Yes,Yes,53,Yes,No,52.15,5208.48,No
CUST0357,Female,0,No,No,67,Yes,DSL,79.47,6315.59,Yes
CUST0358,Male,0,No,Yes,23,Yes,Fiber optic,54.0,6408.55,Yes
CUST0359,Male,0,No,No,15,Yes,Fiber optic,65.58,1378.47,No
CUST0360,Female,0,No,Yes,37,Yes,No,62.52,595.11,No
